id;original_id;name;year;amount_of_categories;amount_validated_by_system;amount_finished_by_herbonauts;amount_herbonauts_involved
1;14;Jan-Peter Frahm: Moose der Welt;2018;8;8559;8458;142
2;5006053;Die Ordnung Gnetales: die komischen Verwandten;2019;11;1355;1333;39
3;6384204;Tagfalterblumen mit zarten Fransen - Die Gattung der Nelken;2019;9;6310;6298;38
4;7214750;Ingwergewächse und andere tropische Schönheiten;2020;10;1691;1690;27
5;6784786;Gigant und Methusalem;2020;9;5971;5971;51
6;7214637;Ornament und Symmetrie - die Akanthusgewächse;2020;10;7605;7605;46
7;7895457;Rühr-mich-nicht-an und seine vielen Verwandten;2021;10;3319;3319;34
8;8746725;Alte Familien im Pflanzenreich - Familien der Gymnospermen;2022;10;1244;1241;20
9;8501354;Mittagsblumen, Lebende Steine und Eiskraut - eine Exkursion zu den Sukkulenten;2022;11;1978;1972;24
10;8501351;Botanische Geschichtenerzähler - Apocynaceae Teil 3;2022;9;5978;5936;36
11;10043764;Schön und oft vitaminreich - Die Berberitzengewächse;2023;11;1286;1273;28
12;9145619;Betulaceae - Birken, Haseln und Verwandte;2023;11;5125;5123;54
